,date,KO,isPartial
26,2013-08-27,40.32,False
27,2013-08-28,41.28,False
28,2013-08-29,42.239999999999995,False
29,2013-08-30,42.72,False
30,2013-08-31,45.12,False
0,2013-09-01,45.589999999999996,False
1,2013-09-02,38.54,False
2,2013-09-03,39.949999999999996,False
3,2013-09-04,39.48,False
4,2013-09-05,38.07,False
5,2013-09-06,39.48,False
6,2013-09-07,44.65,False
7,2013-09-08,42.3,False
8,2013-09-09,38.07,False
9,2013-09-10,39.01,False
10,2013-09-11,38.07,False
11,2013-09-12,39.48,False
12,2013-09-13,41.36,False
13,2013-09-14,46.059999999999995,False
14,2013-09-15,43.71,False
15,2013-09-16,38.54,False
16,2013-09-17,39.48,False
17,2013-09-18,38.07,False
18,2013-09-19,39.01,False
19,2013-09-20,42.769999999999996,False
20,2013-09-21,46.059999999999995,False
21,2013-09-22,46.059999999999995,False
22,2013-09-23,42.3,False
23,2013-09-24,40.419999999999995,False
24,2013-09-25,39.949999999999996,False
25,2013-09-26,41.83,False
26,2013-09-27,42.3,False
27,2013-09-28,47.0,False
28,2013-09-29,45.12,False
29,2013-09-30,39.48,False
0,2013-10-01,41.6,False
1,2013-10-02,40.56,False
2,2013-10-03,43.160000000000004,False
3,2013-10-04,44.2,False
4,2013-10-05,47.84,False
5,2013-10-06,44.2,False
6,2013-10-07,41.08,False
7,2013-10-08,43.160000000000004,False
8,2013-10-09,43.68,False
9,2013-10-10,44.72,False
10,2013-10-11,44.2,False
11,2013-10-12,49.4,False
12,2013-10-13,49.4,False
13,2013-10-14,44.2,False
14,2013-10-15,44.2,False
15,2013-10-16,46.28,False
16,2013-10-17,47.32,False
17,2013-10-18,47.84,False
18,2013-10-19,48.88,False
19,2013-10-20,48.88,False
20,2013-10-21,41.6,False
21,2013-10-22,45.24,False
22,2013-10-23,45.24,False
23,2013-10-24,46.28,False
24,2013-10-25,46.800000000000004,False
25,2013-10-26,52.0,False
26,2013-10-27,47.84,False
27,2013-10-28,42.120000000000005,False
28,2013-10-29,43.68,False
29,2013-10-30,43.160000000000004,False
30,2013-10-31,43.68,False
0,2013-11-01,42.33,False
1,2013-11-02,44.37,False
2,2013-11-03,41.82,False
3,2013-11-04,42.33,False
4,2013-11-05,40.8,False
5,2013-11-06,41.31,False
6,2013-11-07,41.82,False
7,2013-11-08,43.86,False
8,2013-11-09,46.410000000000004,False
9,2013-11-10,46.410000000000004,False
10,2013-11-11,39.78,False
11,2013-11-12,39.27,False
12,2013-11-13,41.82,False
13,2013-11-14,39.78,False
14,2013-11-15,43.86,False
15,2013-11-16,47.94,False
16,2013-11-17,45.9,False
17,2013-11-18,40.8,False
18,2013-11-19,41.82,False
19,2013-11-20,40.29,False
20,2013-11-21,40.8,False
21,2013-11-22,46.92,False
22,2013-11-23,51.0,False
23,2013-11-24,46.92,False
24,2013-11-25,40.29,False
25,2013-11-26,41.82,False
26,2013-11-27,43.35,False
27,2013-11-28,44.88,False
28,2013-11-29,41.82,False
29,2013-11-30,45.39,False
0,2013-12-01,39.22,False
1,2013-12-02,37.1,False
2,2013-12-03,40.28,False
3,2013-12-04,39.75,False
4,2013-12-05,38.690000000000005,False
5,2013-12-06,40.81,False
6,2013-12-07,45.580000000000005,False
7,2013-12-08,43.46,False
8,2013-12-09,38.160000000000004,False
9,2013-12-10,40.28,False
10,2013-12-11,39.22,False
11,2013-12-12,40.28,False
12,2013-12-13,42.93,False
13,2013-12-14,46.64,False
14,2013-12-15,46.64,False
15,2013-12-16,41.34,False
16,2013-12-17,41.870000000000005,False
17,2013-12-18,41.870000000000005,False
18,2013-12-19,41.870000000000005,False
19,2013-12-20,44.52,False
20,2013-12-21,45.580000000000005,False
21,2013-12-22,47.17,False
22,2013-12-23,43.99,False
23,2013-12-24,46.64,False
24,2013-12-25,53.0,False
25,2013-12-26,46.11,False
26,2013-12-27,45.050000000000004,False
27,2013-12-28,47.7,False
28,2013-12-29,48.230000000000004,False
29,2013-12-30,45.580000000000005,False
30,2013-12-31,46.64,False
0,2014-01-01,52.0,False
1,2014-01-02,44.2,False
2,2014-01-03,44.72,False
3,2014-01-04,46.800000000000004,False
4,2014-01-05,47.84,False
5,2014-01-06,43.160000000000004,False
6,2014-01-07,43.68,False
7,2014-01-08,41.6,False
8,2014-01-09,43.160000000000004,False
9,2014-01-10,45.24,False
10,2014-01-11,49.92,False
11,2014-01-12,46.28,False
12,2014-01-13,42.64,False
13,2014-01-14,42.64,False
14,2014-01-15,43.68,False
15,2014-01-16,43.68,False
16,2014-01-17,46.800000000000004,False
17,2014-01-18,49.4,False
18,2014-01-19,48.88,False
19,2014-01-20,41.08,False
20,2014-01-21,45.24,False
21,2014-01-22,44.72,False
22,2014-01-23,42.64,False
23,2014-01-24,45.760000000000005,False
24,2014-01-25,49.92,False
25,2014-01-26,47.32,False
26,2014-01-27,42.64,False
27,2014-01-28,40.56,False
28,2014-01-29,42.64,False
29,2014-01-30,43.160000000000004,False
30,2014-01-31,43.68,False
0,2014-02-01,50.6,False
1,2014-02-02,48.95,False
2,2014-02-03,43.45,False
3,2014-02-04,45.1,False
4,2014-02-05,45.1,False
5,2014-02-06,41.800000000000004,False
6,2014-02-07,48.400000000000006,False
7,2014-02-08,54.45,False
8,2014-02-09,52.800000000000004,False
9,2014-02-10,44.0,False
10,2014-02-11,44.0,False
11,2014-02-12,45.1,False
12,2014-02-13,47.300000000000004,False
13,2014-02-14,45.650000000000006,False
14,2014-02-15,53.35,False
15,2014-02-16,50.6,False
16,2014-02-17,46.2,False
17,2014-02-18,46.2,False
18,2014-02-19,45.650000000000006,False
19,2014-02-20,48.400000000000006,False
20,2014-02-21,48.400000000000006,False
21,2014-02-22,53.35,False
22,2014-02-23,55.00000000000001,False
23,2014-02-24,47.300000000000004,False
24,2014-02-25,44.550000000000004,False
25,2014-02-26,45.650000000000006,False
26,2014-02-27,45.1,False
27,2014-02-28,48.95,False
0,2014-03-01,54.88,False
1,2014-03-02,49.84,False
2,2014-03-03,47.040000000000006,False
3,2014-03-04,46.480000000000004,False
