,date,FB,isPartial
21,2013-09-22,84.28,False
22,2013-09-23,69.66,False
23,2013-09-24,69.66,False
24,2013-09-25,70.52,False
25,2013-09-26,71.38,False
26,2013-09-27,74.82,False
27,2013-09-28,86.0,False
28,2013-09-29,82.56,False
29,2013-09-30,67.94,False
0,2013-10-01,69.7,False
1,2013-10-02,71.39999999999999,False
2,2013-10-03,69.7,False
3,2013-10-04,73.1,False
4,2013-10-05,82.45,False
5,2013-10-06,82.45,False
6,2013-10-07,67.14999999999999,False
7,2013-10-08,68.85,False
8,2013-10-09,69.7,False
9,2013-10-10,68.0,False
10,2013-10-11,73.1,False
11,2013-10-12,85.0,False
12,2013-10-13,82.45,False
13,2013-10-14,73.1,False
14,2013-10-15,70.55,False
15,2013-10-16,70.55,False
16,2013-10-17,73.1,False
17,2013-10-18,73.1,False
18,2013-10-19,84.14999999999999,False
19,2013-10-20,79.05,False
20,2013-10-21,69.7,False
21,2013-10-22,68.0,False
22,2013-10-23,65.45,False
23,2013-10-24,68.85,False
24,2013-10-25,73.95,False
25,2013-10-26,82.45,False
26,2013-10-27,83.3,False
27,2013-10-28,66.3,False
28,2013-10-29,66.3,False
29,2013-10-30,68.85,False
30,2013-10-31,71.39999999999999,False
0,2013-11-01,74.8,False
1,2013-11-02,83.3,False
2,2013-11-03,79.05,False
3,2013-11-04,68.0,False
4,2013-11-05,67.14999999999999,False
5,2013-11-06,67.14999999999999,False
6,2013-11-07,68.85,False
7,2013-11-08,72.25,False
8,2013-11-09,84.14999999999999,False
9,2013-11-10,81.6,False
10,2013-11-11,67.14999999999999,False
11,2013-11-12,65.45,False
12,2013-11-13,67.14999999999999,False
13,2013-11-14,71.39999999999999,False
14,2013-11-15,73.95,False
15,2013-11-16,83.3,False
16,2013-11-17,79.89999999999999,False
17,2013-11-18,64.6,False
18,2013-11-19,67.14999999999999,False
19,2013-11-20,68.0,False
20,2013-11-21,67.14999999999999,False
21,2013-11-22,69.7,False
22,2013-11-23,81.6,False
23,2013-11-24,80.75,False
24,2013-11-25,67.14999999999999,False
25,2013-11-26,65.45,False
26,2013-11-27,69.7,False
27,2013-11-28,71.39999999999999,False
28,2013-11-29,73.1,False
29,2013-11-30,85.0,False
0,2013-12-01,79.17,False
1,2013-12-02,65.52,False
2,2013-12-03,64.61,False
3,2013-12-04,65.52,False
4,2013-12-05,69.16,False
5,2013-12-06,70.98,False
6,2013-12-07,80.99000000000001,False
7,2013-12-08,77.35000000000001,False
8,2013-12-09,64.61,False
9,2013-12-10,66.43,False
10,2013-12-11,66.43,False
11,2013-12-12,70.07000000000001,False
12,2013-12-13,71.89,False
13,2013-12-14,82.81,False
14,2013-12-15,80.08,False
15,2013-12-16,69.16,False
16,2013-12-17,70.98,False
17,2013-12-18,70.98,False
18,2013-12-19,72.8,False
19,2013-12-20,78.26,False
20,2013-12-21,85.54,False
21,2013-12-22,85.54,False
22,2013-12-23,78.26,False
23,2013-12-24,84.63000000000001,False
24,2013-12-25,91.0,False
25,2013-12-26,79.17,False
26,2013-12-27,77.35000000000001,False
27,2013-12-28,84.63000000000001,False
28,2013-12-29,80.99000000000001,False
29,2013-12-30,73.71000000000001,False
30,2013-12-31,86.45,False
0,2014-01-01,88.0,False
1,2014-01-02,73.92,False
2,2014-01-03,75.68,False
3,2014-01-04,80.08,False
4,2014-01-05,78.32000000000001,False
5,2014-01-06,68.64,False
6,2014-01-07,66.88,False
7,2014-01-08,67.76,False
8,2014-01-09,67.76,False
9,2014-01-10,70.4,False
10,2014-01-11,80.96,False
11,2014-01-12,80.08,False
12,2014-01-13,67.76,False
13,2014-01-14,68.64,False
14,2014-01-15,69.52,False
15,2014-01-16,69.52,False
16,2014-01-17,70.4,False
17,2014-01-18,80.96,False
18,2014-01-19,79.2,False
19,2014-01-20,66.88,False
20,2014-01-21,69.52,False
21,2014-01-22,67.76,False
22,2014-01-23,70.4,False
23,2014-01-24,72.16,False
24,2014-01-25,80.08,False
25,2014-01-26,77.44,False
26,2014-01-27,66.88,False
27,2014-01-28,66.88,False
28,2014-01-29,68.64,False
29,2014-01-30,70.4,False
30,2014-01-31,72.16,False
0,2014-02-01,86.24,False
1,2014-02-02,86.24,False
2,2014-02-03,73.92,False
3,2014-02-04,74.8,False
4,2014-02-05,76.56,False
5,2014-02-06,58.96,False
6,2014-02-07,77.44,False
7,2014-02-08,87.12,False
8,2014-02-09,85.36,False
9,2014-02-10,73.92,False
10,2014-02-11,73.04,False
11,2014-02-12,74.8,False
12,2014-02-13,74.8,False
13,2014-02-14,81.84,False
14,2014-02-15,88.0,False
15,2014-02-16,87.12,False
16,2014-02-17,74.8,False
17,2014-02-18,74.8,False
18,2014-02-19,74.8,False
19,2014-02-20,75.68,False
20,2014-02-21,76.56,False
21,2014-02-22,86.24,False
22,2014-02-23,85.36,False
23,2014-02-24,73.04,False
24,2014-02-25,73.92,False
25,2014-02-26,72.16,False
26,2014-02-27,74.8,False
27,2014-02-28,78.32000000000001,False
