,date,NFLX,isPartial
29,2013-07-30,3.78,False
30,2013-07-31,4.83,False
0,2013-08-01,10.080000000000002,False
1,2013-08-02,7.280000000000001,False
2,2013-08-03,1.6800000000000002,False
3,2013-08-04,1.9600000000000002,False
4,2013-08-05,8.540000000000001,False
5,2013-08-06,13.020000000000001,False
6,2013-08-07,7.140000000000001,False
7,2013-08-08,5.880000000000001,False
8,2013-08-09,10.920000000000002,False
9,2013-08-10,2.66,False
10,2013-08-11,1.2600000000000002,False
11,2013-08-12,7.420000000000001,False
12,2013-08-13,9.520000000000001,False
13,2013-08-14,9.940000000000001,False
14,2013-08-15,7.840000000000001,False
15,2013-08-16,9.940000000000001,False
16,2013-08-17,1.6800000000000002,False
17,2013-08-18,1.6800000000000002,False
18,2013-08-19,7.5600000000000005,False
19,2013-08-20,14.000000000000002,False
20,2013-08-21,11.06,False
21,2013-08-22,9.8,False
22,2013-08-23,11.340000000000002,False
23,2013-08-24,3.9200000000000004,False
24,2013-08-25,2.24,False
25,2013-08-26,13.440000000000001,False
26,2013-08-27,12.740000000000002,False
27,2013-08-28,9.940000000000001,False
28,2013-08-29,9.66,False
29,2013-08-30,8.120000000000001,False
30,2013-08-31,1.2600000000000002,False
0,2013-09-01,1.69,False
1,2013-09-02,2.47,False
2,2013-09-03,5.8500000000000005,False
3,2013-09-04,6.24,False
4,2013-09-05,8.58,False
5,2013-09-06,5.720000000000001,False
6,2013-09-07,2.47,False
7,2013-09-08,1.69,False
8,2013-09-09,6.11,False
9,2013-09-10,13.0,False
10,2013-09-11,11.440000000000001,False
11,2013-09-12,10.14,False
12,2013-09-13,7.67,False
13,2013-09-14,2.08,False
14,2013-09-15,1.4300000000000002,False
15,2013-09-16,8.06,False
16,2013-09-17,7.930000000000001,False
17,2013-09-18,4.94,False
18,2013-09-19,5.59,False
19,2013-09-20,6.37,False
20,2013-09-21,1.69,False
21,2013-09-22,1.82,False
22,2013-09-23,10.4,False
23,2013-09-24,9.36,False
24,2013-09-25,6.24,False
25,2013-09-26,9.620000000000001,False
26,2013-09-27,6.37,False
