,date,AMZN,isPartial
10,2013-03-11,2.82,False
11,2013-03-12,4.02,False
12,2013-03-13,2.6399999999999997,False
13,2013-03-14,5.46,False
14,2013-03-15,4.8,False
15,2013-03-16,1.08,False
16,2013-03-17,0.72,False
17,2013-03-18,4.02,False
18,2013-03-19,5.04,False
19,2013-03-20,2.6399999999999997,False
20,2013-03-21,3.48,False
21,2013-03-22,3.96,False
22,2013-03-23,1.5,False
23,2013-03-24,1.2,False
24,2013-03-25,3.84,False
25,2013-03-26,3.2399999999999998,False
26,2013-03-27,4.4399999999999995,False
27,2013-03-28,3.9,False
28,2013-03-29,2.76,False
29,2013-03-30,0.78,False
30,2013-03-31,1.2,False
0,2013-04-01,2.08,False
1,2013-04-02,1.68,False
2,2013-04-03,1.44,False
3,2013-04-04,1.28,False
4,2013-04-05,1.44,False
5,2013-04-06,0.32,False
6,2013-04-07,0.88,False
7,2013-04-08,1.28,False
8,2013-04-09,1.36,False
9,2013-04-10,1.36,False
10,2013-04-11,1.76,False
11,2013-04-12,1.44,False
12,2013-04-13,0.72,False
13,2013-04-14,0.4,False
14,2013-04-15,1.6,False
15,2013-04-16,2.16,False
16,2013-04-17,1.84,False
17,2013-04-18,1.04,False
18,2013-04-19,1.68,False
19,2013-04-20,0.32,False
20,2013-04-21,0.72,False
21,2013-04-22,1.76,False
22,2013-04-23,2.24,False
23,2013-04-24,2.8000000000000003,False
24,2013-04-25,6.32,False
25,2013-04-26,8.0,False
26,2013-04-27,2.4,False
27,2013-04-28,0.8,False
28,2013-04-29,3.04,False
29,2013-04-30,2.8000000000000003,False
0,2013-05-01,6.0,False
1,2013-05-02,4.8,False
2,2013-05-03,5.1,False
3,2013-05-04,1.5,False
4,2013-05-05,1.26,False
5,2013-05-06,4.4399999999999995,False
6,2013-05-07,5.76,False
7,2013-05-08,3.1799999999999997,False
8,2013-05-09,4.62,False
9,2013-05-10,3.5999999999999996,False
10,2013-05-11,1.98,False
11,2013-05-12,1.14,False
12,2013-05-13,4.4399999999999995,False
13,2013-05-14,4.2,False
14,2013-05-15,5.16,False
15,2013-05-16,3.84,False
16,2013-05-17,3.0,False
17,2013-05-18,1.26,False
18,2013-05-19,1.02,False
19,2013-05-20,3.2399999999999998,False
20,2013-05-21,3.12,False
21,2013-05-22,3.3,False
22,2013-05-23,4.62,False
23,2013-05-24,3.9,False
24,2013-05-25,1.38,False
25,2013-05-26,0.8999999999999999,False
26,2013-05-27,1.5,False
